     Pclass  Sex    Age  Siblings/Spouses Aboard  Parents/Children Aboard      Fare                                                                             values  targets
485     3.0  1.0  30.00                      0.0                      0.0    8.0500                                                       Mr. Francis William Somerton        0
707     1.0  0.0  24.00                      0.0                      0.0   49.5042                                                        Mlle. Berthe Antonine Mayne        1
735     3.0  1.0  32.00                      0.0                      0.0    7.8958                                                                  Mr. Minko Nankoff        0
298     3.0  0.0  20.00                      0.0                      0.0    7.7500                                                         Miss. Anna Katherine Kelly        1
516     3.0  1.0  32.00                      0.0                      0.0    7.8958                                                                 Mr. Stefo Pavlovic        0
97      2.0  0.0  34.00                      0.0                      1.0   23.0000                                                Mrs. John T (Ada Julia Bone) Doling        1
862     2.0  0.0  27.00                      1.0                      0.0   13.8583                                                        Miss. Asuncion Duran y More        1
39      3.0  0.0  14.00                      1.0                      0.0   11.2417                                                         Miss. Jamila Nicola-Yarred        1
67      3.0  0.0  17.00                      4.0                      2.0    7.9250                                                     Miss. Erna Alexandra Andersson        1
762     1.0  1.0  46.00                      0.0                      0.0   39.6000                                                           Dr. Arthur Jackson Brewe        0
545     3.0  1.0  33.00                      1.0                      1.0   20.5250                                                           Mr. Frank John Goldsmith        0
428     3.0  0.0  33.00                      1.0                      0.0   16.1000                                   Mrs. Percival (Florence Kate White) Thorneycroft        1
32      3.0  0.0  18.00                      0.0                      0.0    7.7500                                                            Miss. Mary Agatha Glynn        1
28      3.0  0.0  24.00                      0.0                      0.0    7.8792                                                                Miss. Ellen O'Dwyer        1
187     3.0  1.0  40.00                      1.0                      1.0   15.5000                                                                    Mr. John Bourke        0
873     3.0  1.0  19.00                      0.0                      0.0    7.8958                                                                Mr. Nedelio Petroff        0
229     1.0  0.0  35.00                      1.0                      0.0   83.4750                                        Mrs. Henry Birkhardt (Irene Wallach) Harris        1
562     3.0  1.0  24.00                      2.0                      0.0   24.1500                                                                Mr. Alfred J Davies        0
425     3.0  1.0  28.00                      0.0                      0.0    7.7500                                                                    Mr. James Flynn        0
560     3.0  1.0  40.00                      0.0                      0.0    8.0500                                                                   Mr. John Simmons        0
199     3.0  1.0  28.00                      0.0                      0.0    9.5000                                                      Mr. Nestor Cyriel Vande Walle        0
814     3.0  1.0  43.00                      0.0                      0.0    6.4500                                                    Mr. John Fredrik Alexander Holm        0
542     1.0  1.0  64.00                      0.0                      0.0   26.0000                                                        Mr. Arthur Ernest Nicholson        0
622     1.0  1.0  61.00                      0.0                      0.0   32.3208                                                               Mr. Frederick Sutton        0
449     1.0  1.0  30.00                      0.0                      0.0   27.7500                                                     Mr. Benjamin Laventall Foreman        0
319     3.0  1.0  27.00                      0.0                      0.0    7.8958                                                                    Mr. Yoto Danoff        0
311     3.0  1.0  28.00                      0.0                      0.0    7.8958                                                              Mr. Ignjac Hendekovic        0
263     2.0  1.0  36.00                      0.0                      0.0   10.5000                                                                   Mr. David Reeves        0
327     1.0  0.0  16.00                      0.0                      1.0   57.9792                                                        Miss. Jean Gertrude Hippach        1
854     3.0  0.0  24.00                      0.0                      3.0   19.2583                                               Mrs. Solomon (Latifa Qurban) Baclini        1
781     3.0  1.0  25.00                      0.0                      0.0    7.2500                                                  Mr. Abraham (David Lishin) Harmer        0
57      2.0  0.0   5.00                      1.0                      2.0   27.7500                                                        Miss. Constance Mirium West        1
352     3.0  1.0  23.00                      0.0                      0.0    7.2250                                                                   Mr. Wazli Yousif        0
575     3.0  0.0  18.00                      1.0                      0.0   14.4583                                                    Mrs. Joseph (Maria Elias) Caram        0
740     3.0  1.0  31.00                      0.0                      0.0    7.9250                                                                  Mr. Juho Stranden        1
805     1.0  0.0  33.00                      1.0                      0.0   53.1000                                      Mrs. Norman Campbell (Bertha Griggs) Chambers        1
786     3.0  1.0  20.00                      0.0                      0.0    7.7500                                                                   Mr. Andrew Keane        0
345     3.0  0.0  34.00                      1.0                      0.0   16.1000                                           Mrs. Thomas Henry (Mary E Finck) Davison        1
294     3.0  1.0  23.50                      0.0                      0.0    7.2292                                                                  Mr. Mansour Hanna        0
839     3.0  1.0  34.50                      0.0                      0.0    6.4375                                                          Mr. Peter L Lemberopolous        0
394     3.0  0.0  31.00                      0.0                      0.0    7.8542                                                                 Miss. Elina Olsson        0
176     1.0  0.0  50.00                      0.0                      0.0   28.7125                                                          Miss. Ann Elizabeth Isham        0
366     3.0  0.0  22.00                      0.0                      0.0    7.7500                                                                 Miss. Annie Jermyn        1
149     2.0  1.0  51.00                      0.0                      0.0   12.5250                                                          Rev. Robert James Bateman        0
818     1.0  1.0  38.00                      0.0                      0.0    0.0000                                                     Jonkheer. John George Reuchlin        0
661     3.0  1.0  20.00                      1.0                      0.0    7.9250                                                         Mr. Eino William Lindqvist        1
180     2.0  1.0  39.00                      0.0                      0.0   15.0500                                                                    Mr. Rene Pernot        0
364     1.0  0.0  60.00                      1.0                      0.0   75.2500                                    Mrs. Frank Manley (Anna Sophia Atkinson) Warren        1
614     3.0  0.0  26.00                      1.0                      0.0   16.1000                                     Mrs. William Arthur (Cordelia K Stanlick) Lobb        0
716     2.0  0.0   6.00                      0.0                      1.0   33.0000                                                          Miss. Annie Jessie Harper        1
210     2.0  0.0  35.00                      0.0                      0.0   21.0000                                                          Miss. Clear Annie Cameron        1
141     3.0  0.0  24.00                      1.0                      0.0   15.8500                                Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen        1
281     3.0  1.0  19.00                      0.0                      0.0    8.0500                                                          Mr. Edward Arthur Dorking        1
362     3.0  1.0  27.00                      1.0                      0.0   15.5000                                                                 Mr. Thomas O'Brien        0
307     1.0  0.0  30.00                      0.0                      0.0   56.9292                                                      Miss. Laura Mabel Francatelli        1
678     1.0  1.0  27.00                      0.0                      0.0   76.7292                                                                  Mr. Hammad Hassab        1
876     2.0  0.0  25.00                      0.0                      1.0   26.0000                                        Mrs. William (Imanita Parrish Hall) Shelley        1
819     3.0  0.0  27.00                      0.0                      1.0   12.4750                                                                  Mrs. (Beila) Moor        1
110     3.0  0.0  14.50                      1.0                      0.0   14.4542                                                                Miss. Hileni Zabour        0
369     3.0  1.0  18.00                      1.0                      0.0    6.4958                                                           Mr. Jakob Alfred Wiklund        0
846     3.0  1.0   4.00                      4.0                      2.0   31.2750                                             Master. Sigvard Harald Elias Andersson        0
715     3.0  1.0  33.00                      0.0                      0.0    7.7750                                                        Mr. Malkolm Joackim Johnson        0
477     3.0  1.0   9.00                      5.0                      2.0   46.9000                                                      Master. Harold Victor Goodwin        0
282     1.0  1.0  57.00                      0.0                      0.0   26.0000                                                          Mr. Richard William Smith        0
708     1.0  1.0  41.00                      0.0                      0.0   26.5500                                                                  Mr. Herman Klaber        0
360     3.0  0.0  45.00                      0.0                      1.0   14.4542                                                     Mrs. (Catherine David) Barbara        0
66      3.0  1.0  19.00                      0.0                      0.0    8.1583                                                            Mr. Ernest James Crease        0
154     1.0  1.0  51.00                      0.0                      1.0   61.3792                                                         Mr. Charles Duane Williams        0
129     3.0  1.0  33.00                      0.0                      0.0    7.8958                                                                Mr. Jozef Drazenoic        0
660     3.0  1.0  36.00                      0.0                      0.0    7.4958                                                                    Mr. Peju Coleff        0
405     2.0  1.0   3.00                      1.0                      1.0   18.7500                                                      Master. William Rowe Richards        1
253     3.0  0.0  41.00                      0.0                      2.0   20.2125                                            Mrs. Viktor (Helena Wilhelmina) Rosblom        0
33      2.0  1.0  66.00                      0.0                      0.0   10.5000                                                               Mr. Edward H Wheadon        0
135     1.0  0.0  19.00                      0.0                      2.0   26.2833                                                        Miss. Helen Monypeny Newsom        1
431     1.0  1.0  50.00                      1.0                      0.0   55.9000                                                           Mr. William Baird Silvey        0
524     1.0  1.0  49.00                      0.0                      0.0  221.7792                                                                  Mr. John Farthing        0
139     3.0  0.0  40.00                      0.0                      2.0   15.2458                                                       Mrs. Joseph (Sultana) Boulos        0
847     3.0  1.0  74.00                      0.0                      0.0    7.7750                                                                 Mr. Johan Svensson        0
532     2.0  0.0   7.00                      0.0                      2.0   26.2500                                                              Miss. Eva Miriam Hart        1
355     2.0  0.0  38.00                      0.0                      0.0   13.0000                                                           Miss. Annie Clemmer Funk        0
791     2.0  1.0  39.00                      0.0                      0.0   13.0000                                                                  Mr. Richard Otter        0
441     3.0  1.0  29.00                      0.0                      0.0    8.1125                                                   Mr. Bernt Johannesen-Bratthammer        1
535     3.0  1.0  69.00                      0.0                      0.0   14.5000                                                            Mr. Samuel Beard Risien        0
644     1.0  1.0  56.00                      0.0                      0.0   35.5000                                                 Col. Oberst Alfons Simonius-Blumer        1
696     3.0  1.0  42.00                      0.0                      0.0    7.6500                                            Mr. Adolf Mathias Nicolai Olsen Humblen        0
247     1.0  1.0  37.00                      1.0                      1.0   52.5542                                                       Mr. Richard Leonard Beckwith        1
843     3.0  1.0  35.00                      0.0                      0.0    7.8958                                                                  Mr. Marin Markoff        0
72      3.0  1.0  26.00                      1.0                      0.0   14.4542                                                         Mr. Apostolos Chronopoulos        0
375     1.0  1.0  27.00                      0.0                      2.0  211.5000                                                           Mr. Harry Elkins Widener        0
220     2.0  1.0  27.00                      0.0                      0.0   13.0000                                                                Mr. James H Bracken        0
785     1.0  1.0  46.00                      0.0                      0.0   79.2000                                                            Mr. Benjamin Guggenheim        0
37      3.0  1.0  21.00                      0.0                      0.0    8.0500                                                            Mr. Ernest Charles Cann        0
444     1.0  1.0  34.00                      0.0                      0.0   26.5500                                                         Mr. Frederic Kimber Seward        1
142     3.0  1.0  19.00                      0.0                      0.0    6.7500                                                                 Mr. Jeremiah Burke        0
641     3.0  0.0   0.75                      2.0                      1.0   19.2583                                                              Miss. Eugenie Baclini        1
742     3.0  1.0  16.00                      1.0                      1.0   20.2500                                                         Mr. Rossmore Edward Abbott        0
321     2.0  0.0  22.00                      1.0                      1.0   29.0000                                 Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell        1
816     1.0  0.0  52.00                      1.0                      1.0   93.5000                                  Mrs. Charles Melville (Clara Jennings Gregg) Hays        1
619     3.0  1.0  20.00                      1.0                      1.0   15.7417                                                                    Mr. Sahid Nakid        1
702     2.0  1.0  39.00                      0.0                      0.0   26.0000                                                            Mr. Henry Samuel Morley        0
683     3.0  1.0  14.00                      4.0                      1.0   39.6875                                                            Mr. Jaako Arnold Panula        0
93      3.0  1.0  59.00                      0.0                      0.0    7.2500                                                                   Mr. Daniel Coxon        0
231     2.0  1.0  59.00                      0.0                      0.0   13.5000                                                           Mr. Ernst Adolf Sjostedt        0
775     1.0  0.0  43.00                      0.0                      1.0  211.3375                               Mrs. Edward Scott (Elisabeth Walton McMillan) Robert        1
124     3.0  1.0  12.00                      1.0                      0.0   11.2417                                                        Master. Elias Nicola-Yarred        1
537     1.0  0.0  36.00                      0.0                      2.0   71.0000                                                             Miss. Harriet R Crosby        1
501     1.0  0.0  16.00                      0.0                      0.0   86.5000                                                               Miss. Roberta Maioni        1
266     1.0  0.0  58.00                      0.0                      1.0  153.4625                                       Mrs. William Thompson (Edith Junkins) Graham        1
828     3.0  1.0  30.00                      0.0                      0.0    7.2292                                                                      Mr. Amin Saad        0
747     3.0  1.0   6.00                      0.0                      1.0   12.4750                                                                 Master. Meier Moor        1
589     3.0  1.0  47.00                      0.0                      0.0    7.2500                                                          Mr. William James Elsbury        0
590     3.0  0.0  40.00                      0.0                      2.0    7.7500                                                                  Miss. Mary Bourke        0
365     3.0  0.0  35.00                      0.0                      0.0    7.2292                                                      Mrs. (Mantoura Boulos) Moussa        1
172     3.0  1.0  21.00                      0.0                      0.0    7.9250                                                           Mr. Antti Wilhelm Sivola        0
458     3.0  1.0  34.00                      0.0                      0.0    8.0500                                                                 Mr. William Morley        0
87      1.0  0.0  23.00                      3.0                      2.0  263.0000                                                          Miss. Mabel Helen Fortune        1
565     3.0  1.0  28.00                      0.0                      0.0    7.2292                                                                 Mr. Tannous Doharr        0
372     3.0  0.0   3.00                      3.0                      1.0   21.0750                                                          Miss. Stina Viola Palsson        0
442     1.0  1.0   4.00                      0.0                      2.0   81.8583                                                           Master. Washington Dodge        1
759     1.0  0.0  36.00                      1.0                      2.0  120.0000                                           Mrs. William Ernest (Lucile Polk) Carter        1
393     3.0  1.0  22.00                      0.0                      0.0    7.7958                                                                 Mr. Erik Johansson        0
342     2.0  1.0  36.00                      0.0                      0.0   13.0000                                                             Mr. Stanley Hubert Fox        0
523     2.0  0.0  50.00                      0.0                      0.0   10.5000                                                                Miss. Lucy Ridsdale        1
812     3.0  0.0  23.00                      0.0                      0.0    7.9250                                                        Miss. Wendla Maria Heininen        0
797     2.0  0.0  31.00                      1.0                      1.0   26.2500                                         Mrs. Harvey (Charlotte Annie Tate) Collyer        1
610     3.0  1.0  22.00                      0.0                      0.0    7.7500                                                                    Mr. John Horgan        0
680     3.0  1.0  14.00                      5.0                      2.0   46.9000                                                         Mr. Charles Edward Goodwin        0
123     1.0  1.0  54.00                      0.0                      1.0   77.2875                                                         Mr. Percival Wayland White        0
529     3.0  1.0  17.00                      1.0                      1.0    7.2292                                                                Mr. Joseph Jr Elias        0
480     3.0  0.0  63.00                      0.0                      0.0    9.5875                                                              Mrs. (Hedwig) Turkula        1
420     3.0  0.0  28.00                      1.0                      1.0   14.4000                              Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom        0
108     3.0  0.0  28.00                      1.0                      0.0   24.1500                                                                 Miss. Bertha Moran        1
75      3.0  1.0  23.00                      0.0                      0.0    7.8958                                                                   Mr. Ivan Staneff        0
7       3.0  1.0   2.00                      3.0                      1.0   21.0750                                                      Master. Gosta Leonard Palsson        0
397     2.0  0.0  28.00                      0.0                      0.0   12.6500                                                    Mrs. William H (Jessie L) Trout        1
646     3.0  0.0  23.00                      0.0                      0.0    7.5500                                                     Miss. Amy Zillah Elsie Stanley        1
684     3.0  1.0  19.00                      0.0                      0.0   10.1708                                                                   Mr. Branko Dakic        0
126     3.0  1.0  24.00                      0.0                      0.0    7.1417                                                           Mr. Fridtjof Arne Madsen        1
877     3.0  1.0  33.00                      0.0                      0.0    7.8958                                                                  Mr. Johann Markun        0
792     1.0  0.0  49.00                      0.0                      0.0   25.9292                                                         Dr. Alice (Farnham) Leader        1
166     3.0  0.0  45.00                      1.0                      4.0   27.9000                                     Mrs. William (Anna Bernhardina Karlsson) Skoog        0
630     1.0  1.0  30.00                      0.0                      0.0    0.0000                                                       Mr. William Henry Marsh Parr        0
506     3.0  1.0  26.00                      0.0                      0.0   56.4958                                                                      Mr. Fang Lang        1
728     2.0  1.0  41.00                      0.0                      0.0    0.0000                                                                Mr. Robert J Knight        0
478     2.0  1.0  37.00                      0.0                      0.0    0.0000                                                             Mr. Anthony Wood Frost        0
237     2.0  1.0  19.00                      0.0                      0.0   10.5000                                                     Mr. Frederick William Pengelly        0
882     2.0  1.0  27.00                      0.0                      0.0   13.0000                                                               Rev. Juozas Montvila        0
528     3.0  1.0  17.00                      0.0                      0.0    7.2292                                                                   Mr. Nakli Toufik        0
185     3.0  0.0  26.00                      1.0                      0.0   15.5000                                              Mrs. Thomas (Johanna Godfrey) O'Brien        1
481     1.0  1.0  25.00                      1.0                      0.0   91.0792                                                             Mr. Dickinson H Bishop        1
94      3.0  1.0  22.00                      0.0                      0.0    8.0500                                                         Mr. Charles Joseph Shorney        0
491     3.0  1.0  21.00                      0.0                      0.0    8.0500                                                          Mr. Edward Roland Stanley        0
725     3.0  0.0  25.00                      1.0                      0.0    7.9250                                                       Miss. Pieta Sofia Ilmakangas        0
454     1.0  0.0  41.00                      1.0                      0.0   51.8625                                                   Mrs. Frederick R (Marion) Kenyon        1
191     3.0  0.0  19.00                      1.0                      0.0    7.8542                                     Miss. Carla Christine Nielsine Andersen-Jensen        1
518     3.0  1.0  22.00                      0.0                      0.0    7.8958                                                                     Mr. Janko Vovk        0
866     3.0  1.0  26.00                      0.0                      0.0    7.8958                                                                   Mr. Cerin Balkic        0
734     3.0  1.0  20.00                      0.0                      0.0    7.8958                                                                  Mr. Kanio Ivanoff        0
236     2.0  0.0   8.00                      0.0                      2.0   26.2500                                                             Miss. Marjorie Collyer        1
743     2.0  0.0  30.00                      0.0                      0.0   13.0000                                                               Miss. Anna Sinkkonen        1
676     1.0  1.0  36.00                      0.0                      1.0  512.3292                                                  Mr. Thomas Drake Martinez Cardeza        1
880     3.0  1.0  25.00                      0.0                      0.0    7.0500                                                              Mr. Henry Jr Sutehall        0
744     1.0  1.0  19.00                      1.0                      0.0   53.1000                                                           Mr. Daniel Warner Marvin        0
493     1.0  0.0  54.00                      1.0                      0.0   78.2667                                                      Miss. Elizabeth Mussey Eustis        1
297     1.0  0.0  50.00                      0.0                      1.0  247.5208                                     Mrs. James (Helene DeLaudeniere Chaput) Baxter        1
596     1.0  1.0  49.00                      1.0                      0.0   56.9292                                                      Sir. Cosmo Edmund Duff Gordon        1
571     3.0  1.0  16.00                      0.0                      0.0    8.0500                                                        Mr. Alfred George John Rush        0
536     1.0  0.0  22.00                      0.0                      2.0   49.5000                                                  Miss. Hedwig Margaritha Frolicher        1
870     2.0  0.0  28.00                      1.0                      0.0   24.0000                                               Mrs. Samuel (Hannah Wizosky) Abelson        1
723     3.0  0.0  28.00                      0.0                      0.0    7.7375                                                            Miss. Margareth Mannion        1
277     3.0  0.0  35.00                      1.0                      1.0   20.2500                                                    Mrs. Stanton (Rosa Hunt) Abbott        1
640     3.0  1.0  32.00                      0.0                      0.0   56.4958                                                                     Mr. Choong Foo        1
830     3.0  1.0  18.00                      0.0                      0.0    8.3000                                                              Mr. Owen George Allum        0
469     2.0  0.0  33.00                      1.0                      2.0   27.7500                                             Mrs. Edwy Arthur (Ada Mary Worth) West        1
95      1.0  1.0  71.00                      0.0                      0.0   34.6542                                                           Mr. George B Goldschmidt        0
798     1.0  1.0  11.00                      1.0                      2.0  120.0000                                                 Master. William Thornton II Carter        1
349     1.0  1.0  43.00                      0.0                      0.0   35.0000                                              Mr. Fletcher Fellows Williams-Lambert        0
808     2.0  1.0  35.00                      0.0                      0.0   10.5000                                                           Mr. Richard James Slemen        0
143     2.0  1.0  18.00                      0.0                      0.0   11.5000                                                          Mr. Edgardo Samuel Andrew        0
386     3.0  1.0  19.00                      0.0                      0.0    7.7292                                                                Mr. Matthew Sadlier        0
810     3.0  1.0  30.50                      0.0                      0.0    8.0500                                                          Mr. Ernest Portage Tomlin        0
65      2.0  0.0  29.00                      0.0                      0.0   10.5000                                                        Mrs. (Elizabeth Ramell) Nye        1
439     3.0  1.0  25.00                      1.0                      0.0    7.7750                                                           Mr. Johan Emil Petterson        0
373     1.0  0.0  25.00                      1.0                      0.0   82.1708                                               Mrs. Edgar Joseph (Leila Saks) Meyer        1
633     3.0  1.0  32.00                      0.0                      0.0    7.9250                                                          Mr. Antti Gustaf Leinonen        0
712     3.0  1.0  19.00                      0.0                      0.0    7.6500                                          Mr. Peter Andreas Lauritz Andersen Soholt        0
837     2.0  1.0  16.00                      0.0                      0.0   10.5000                                                            Mr. Thomas Charles Mudd        0
869     3.0  1.0  47.00                      0.0                      0.0    9.0000                                                         Mr. Victor Vander Cruyssen        0
17      2.0  1.0  23.00                      0.0                      0.0   13.0000                                                        Mr. Charles Eugene Williams        1
540     2.0  1.0  32.00                      1.0                      0.0   26.0000                                                                   Mr. Edward Beane        1
603     3.0  1.0  30.00                      0.0                      0.0    7.8958                                                                   Mr. Milan Karaic        0
316     1.0  0.0  31.00                      0.0                      2.0  164.8667                                                            Miss. Mary Natalie Wick        1
675     3.0  0.0  43.00                      1.0                      6.0   46.9000                                             Mrs. Frederick (Augusta Tyler) Goodwin        0
410     1.0  0.0  33.00                      1.0                      0.0   90.0000                                                              Miss. Daisy E Minahan        1
293     1.0  1.0  30.00                      0.0                      0.0   27.7208                                                                   Mr. Ervin G Lewy        0
645     3.0  1.0  21.00                      0.0                      0.0    7.5500                                                                  Mr. Edward Willey        0
473     2.0  1.0  34.00                      1.0                      0.0   21.0000                                                             Mr. Peter Henry Renouf        0
77      2.0  1.0   0.83                      0.0                      2.0   29.0000                                                       Master. Alden Gates Caldwell        1
59      3.0  1.0  22.00                      0.0                      0.0    7.2292                                                               Mr. Orsen Sirayanian        0
341     2.0  1.0  25.00                      0.0                      0.0   13.0000                                          Mr. Charles Frederick Waddington Sedgwick        0
872     3.0  1.0  20.00                      0.0                      0.0    9.8458                                                       Mr. Alfred Ossian Gustafsson        0
857     2.0  1.0  21.00                      1.0                      0.0   11.5000                                                         Mr. Frederick Edward Giles        0
548     2.0  1.0  27.00                      0.0                      0.0   26.0000                                                         Mr. Percival James R Sharp        0
468     3.0  1.0  38.00                      0.0                      0.0    8.6625                                                                     Mr. Luka Cacic        0
840     3.0  1.0  17.00                      0.0                      0.0    8.6625                                                                 Mr. Jeso Culumovic        0
70      3.0  0.0  16.00                      5.0                      2.0   46.9000                                                          Miss. Lillian Amy Goodwin        0
642     1.0  1.0  48.00                      1.0                      0.0   76.7292                                                           Mr. Henry Sleeper Harper        1
511     3.0  1.0  24.00                      0.0                      0.0    7.4958                                                                   Mr. Satio Coleff        0
568     1.0  0.0  53.00                      2.0                      0.0   51.4792                                       Mrs. Edward Dale (Charlotte Lamson) Appleton        1
396     2.0  1.0  23.00                      0.0                      0.0   10.5000                                                                    Dr. Alfred Pain        0
400     3.0  0.0  21.00                      1.0                      0.0    9.8250                                                            Miss. Mari Aina Jussila        0
601     1.0  1.0  35.00                      0.0                      0.0   26.5500                                                                    Mr. Harry Homer        1
272     3.0  0.0  33.00                      0.0                      0.0    7.7500                                                                 Miss. Hanora Healy        1
49      3.0  1.0   7.00                      4.0                      1.0   39.6875                                                          Master. Juha Niilo Panula        0
670     2.0  1.0  31.00                      0.0                      0.0   13.0000                                                               Mr. Charles Wilhelms        1
69      2.0  1.0  32.00                      0.0                      0.0   10.5000                                                          Mr. Stephen Curnow Jenkin        0
370     3.0  1.0  19.00                      0.0                      0.0    8.0500                                                          Mr. William Thomas Beavan        0
403     2.0  1.0  34.00                      1.0                      0.0   21.0000                                                                  Mr. Shadrach Gale        0
315     2.0  1.0  54.00                      0.0                      0.0   14.0000                                                                Dr. Ernest Moraweck        0
787     2.0  1.0  16.00                      0.0                      0.0   26.0000                                                                 Mr. Alfred Gaskell        0
875     1.0  0.0  56.00                      0.0                      1.0   83.1583                                       Mrs. Thomas Jr (Lily Alexenia Wilson) Potter        1
879     2.0  1.0  28.00                      0.0                      0.0   10.5000                                                       Mr. Frederick James Banfield        0
279     3.0  1.0  28.00                      0.0                      0.0    7.8542                                                    Mr. Nils Johan Goransson Olsson        0
173     1.0  1.0  56.00                      0.0                      0.0   30.6958                                                             Mr. James Clinch Smith        0
593     2.0  0.0  31.00                      0.0                      0.0   33.0000                                                          Miss. Jessie Wills Leitch        1
244     1.0  1.0  44.00                      2.0                      0.0   90.0000                                                         Dr. William Edward Minahan        0
494     3.0  1.0  55.00                      0.0                      0.0   15.1000                                                     Mr. Frederick William Shellard        0
280     3.0  1.0  16.00                      0.0                      0.0    9.5000                                                           Mr. Alfons de Pelsmaeker        0
107     3.0  1.0  38.00                      0.0                      0.0    7.8958                                                                     Mr. Tido Rekic        0
815     3.0  1.0  10.00                      3.0                      2.0   27.9000                                                        Master. Karl Thorsten Skoog        0
567     2.0  1.0  62.00                      0.0                      0.0   10.5000                                                                  Mr. George Harris        1
140     3.0  0.0  22.00                      0.0                      0.0    7.7500                                                            Miss. Anna Sofia Nysten        1
514     3.0  1.0  30.00                      0.0                      0.0   24.1500                                                                   Mr. Patrick Ryan        0
177     2.0  1.0  30.00                      0.0                      0.0   13.0000                                                                  Mr. Reginald Hale        0
526     2.0  1.0  23.00                      2.0                      1.0   11.5000                                                         Mr. Richard George Hocking        0
686     1.0  0.0  15.00                      0.0                      1.0  211.3375                                                   Miss. Georgette Alexandra Madill        1
521     3.0  1.0  18.00                      0.0                      0.0    7.2292                                                                   Mr. Fared Kassem        0
599     1.0  1.0  37.00                      0.0                      0.0   42.4000                                                           Mr. Charles H Harrington        0
194     1.0  0.0  58.00                      0.0                      0.0  146.5208                                                                Miss. Elise Lurette        1
46      3.0  0.0  27.00                      0.0                      0.0    7.7500                                                           Miss. Bridget O'Driscoll        1
483     1.0  0.0  35.00                      1.0                      0.0   90.0000                                     Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt        1
553     1.0  0.0  48.00                      1.0                      0.0   39.6000                                   Lady. (Lucille Christiana Sutherland)Duff Gordon        1
409     3.0  1.0  27.00                      0.0                      0.0    6.8583                                                                     Mr. Henry Hart        0
582     1.0  0.0  18.00                      0.0                      2.0   79.6500                                                                 Miss. Ruth Taussig        1
238     2.0  1.0  33.00                      0.0                      0.0   12.2750                                                              Mr. George Henry Hunt        0
495     1.0  0.0  25.00                      1.0                      2.0  151.5500                                     Mrs. Hudson J C (Bessie Waldo Daniels) Allison        0
429     2.0  0.0  42.00                      1.0                      0.0   26.0000                                 Mrs. Charles Alexander (Alice Adelaide Slow) Louch        1
656     1.0  1.0  58.00                      0.0                      2.0  113.2750                                                          Mr. Arthur Webster Newell        0
699     3.0  0.0  18.00                      0.0                      1.0   14.4542                                                               Miss. Saiide Barbara        0
632     2.0  0.0  28.00                      0.0                      0.0   13.0000                                                                   Miss. Mary Davis        1
114     3.0  1.0  21.00                      0.0                      0.0    7.9250                                                               Mr. Edvard Pekoniemi        0
771     3.0  1.0  18.00                      0.0                      0.0    7.7500                                             Mr. Pehr Fabian Oliver Malkolm Myhrman        0
677     3.0  0.0  28.00                      0.0                      0.0    8.1375                                                                 Miss. Katie Peters        0
368     1.0  1.0  25.00                      1.0                      0.0   55.4417                                                         Mr. George Achilles Harder        1
597     2.0  0.0  24.00                      2.0                      1.0   27.0000                                 Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn        1
271     1.0  1.0  37.00                      0.0                      1.0   29.7000                                                               Mr. Charles H Natsch        0
636     3.0  1.0  37.00                      1.0                      0.0   16.1000                                                          Mr. Percival Thorneycroft        0
136     1.0  1.0  37.00                      1.0                      0.0   53.1000                                                         Mr. Jacques Heath Futrelle        0
488     3.0  1.0  21.00                      0.0                      0.0    7.2500                                                                 Mr. Einar Windelov        0
546     2.0  1.0   8.00                      1.0                      1.0   36.7500                                                      Master. John Morgan Jr Davies        1
652     2.0  1.0  24.00                      2.0                      0.0   73.5000                                                           Mr. Leonard Mark Hickman        0
851     3.0  0.0  18.00                      0.0                      1.0    9.3500                                                          Mrs. Sam (Leah Rosen) Aks        1
38      3.0  0.0  18.00                      2.0                      0.0   18.0000                                                  Miss. Augusta Maria Vander Planke        0
824     3.0  1.0  19.00                      0.0                      0.0    7.7500                                                        Mr. Thomas Joseph McCormack        1
169     1.0  1.0  61.00                      0.0                      0.0   33.5000                                                           Mr. Wyckoff Van der hoef        0
415     2.0  0.0  18.00                      0.0                      2.0   13.0000                                                       Miss. Lyyli Karoliina Silven        1
9       2.0  0.0  14.00                      1.0                      0.0   30.0708                                                 Mrs. Nicholas (Adele Achem) Nasser        1
655     2.0  1.0  23.00                      0.0                      0.0   13.0000                                                        Mr. George Floyd Eitemiller        0
782     3.0  0.0  18.00                      0.0                      0.0    7.4958                                                           Miss. Anna Sofia Sjoblom        1
650     3.0  0.0  16.00                      0.0                      0.0    7.8292                                                               Miss. Hanora O'Leary        1
508     3.0  1.0  66.00                      0.0                      0.0    8.0500                                                                   Mr. James Webber        0
672     3.0  1.0  18.00                      0.0                      0.0    7.7750                                                      Mr. Gustaf Hjalmar Edvardsson        0
258     2.0  0.0  50.00                      0.0                      1.0   26.0000                                                         Mrs. (Lutie Davis) Parrish        1
115     3.0  1.0  70.50                      0.0                      0.0    7.7500                                                                Mr. Patrick Connors        0
663     2.0  1.0  25.00                      0.0                      0.0   13.0000                                                         Mr. Reginald Fenton Butler        0
